[Fri Mar 31 15:34:05.366843 2017] [:error] [pid 8811] [client 127.0.0.1:52336] PHP Warning:  date(): It is not safe to rely on the system's timezone settings. You are *required* to use the date.timezone setting or the date_default_timezone_set() function. In case you used any of those methods and you are still getting this warning, you most likely misspelled the timezone identifier. We selected the timezone 'UTC' for now, but please set date.timezone to select your timezone. in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366851 2017] [:error] [pid 8811] [client 127.0.0.1:52336] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366855 2017] [:error] [pid 8811] [client 127.0.0.1:52336] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 15:34:05.366857 2017] [:error] [pid 8811] [client 127.0.0.1:52336] PHP   2. date() /var/www/html/poc/http_long_polling/ajax_polling_long.php:14, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:23:58.272322 2017] [:error] [pid 26211] [client 127.0.0.1:52369] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:23:58.272378 2017] [:error] [pid 26211] [client 127.0.0.1:52369] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:23:58.272390 2017] [:error] [pid 26211] [client 127.0.0.1:52369] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:23:58.272395 2017] [:error] [pid 26211] [client 127.0.0.1:52369] PHP   2. filemtime() /var/www/html/poc/http_long_polling/ajax_polling_long.php:11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:07.148253 2017] [:error] [pid 26814] [client 127.0.0.1:52401] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 9, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:07.148294 2017] [:error] [pid 26814] [client 127.0.0.1:52401] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:07.148304 2017] [:error] [pid 26814] [client 127.0.0.1:52401] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:38.843232 2017] [:error] [pid 29276] [client 127.0.0.1:52418] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 10, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:38.843266 2017] [:error] [pid 29276] [client 127.0.0.1:52418] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:38.843272 2017] [:error] [pid 29276] [client 127.0.0.1:52418] PHP   1. {main}() /var/www/html/poc/http_long_polling/ajax_polling_long.php:0, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:54.518246 2017] [:error] [pid 26684] [client 127.0.0.1:52380] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in /var/www/html/poc/http_long_polling/ajax_polling_long.php on line 11, referer: http://dbi-poc.com/http_long_polling/
[Fri Mar 31 19:28:54.518287 2017] [:error] [pid 26684] [client 127.0.0.1:52380] PHP Stack trace:, referer: http://dbi-poc.com/http_long_polling/
